
"nodeName", "library", "inputType", "completeName", "summary"
"Properties.Resources.IsZeroDistance","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Properties.Resources.IsZeroDistance","Looks up a localized string similar to the distance between the {0} and the {1} is zero."
"Properties.Resources.IsZeroLength","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Properties.Resources.IsZeroLength","Looks up a localized string similar to the length is zero."
"Properties.Resources.IsZeroRadius","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Properties.Resources.IsZeroRadius","Looks up a localized string similar to the radius is zero."
"Properties.Resources.IsZeroVector","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Properties.Resources.IsZeroVector","Looks up a localized string similar to the input {0}is zero."
"Properties.Resources.LessThan","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Properties.Resources.LessThan","Looks up a localized string similar to the {0} is less than {1}."
"Properties.Resources.LessThanZero","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Properties.Resources.LessThanZero","Looks up a localized string similar to the {0} is less than zero."
"Properties.Resources.LowerModelerExtentExceeded","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Properties.Resources.LowerModelerExtentExceeded","Looks up a localized string similar to Your inputs lie outside of the allowable modeling range, considerchoosing the {0} setting with a modeling range between {1} and {2} from the ""Settings => Geometry Working Range"" dialog."
"Properties.Resources.ModelerExtentsExceeded","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Properties.Resources.ModelerExtentsExceeded","Looks up a localized string similar to You have exceeded the allowable modeling extents, consider choosing smaller values."
"Properties.Resources.NoImplementationException","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Properties.Resources.NoImplementationException","Looks up a localized string similar to No implementation of IGeometryFactory found.Make sure ProtoGeometry.config is properly configured.."
"Properties.Resources.NoParameterNameException","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Properties.Resources.NoParameterNameException","Looks up a localized string similar to WriteObject without parameter name is not supported for {0}."
"Properties.Resources.NotEqual","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Properties.Resources.NotEqual","Looks up a localized string similar to the {0} is not equal to {2}."
"Properties.Resources.NotSupported","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Properties.Resources.NotSupported","Looks up a localized string similar to {0} is not supported for {1}."
"Properties.Resources.NullArgument","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Properties.Resources.NullArgument","Looks up a localized string similar to the {0} is null."
"Properties.Resources.NullIDesignScriptEntityException","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Properties.Resources.NullIDesignScriptEntityException","Looks up a localized string similar to DesignScriptEntity can't be created with null IDesignScriptEntity."
"Properties.Resources.OperationFailed","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Properties.Resources.OperationFailed","Looks up a localized string similar to {0} operation failed."
"Properties.Resources.OwnerExistingException","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Properties.Resources.OwnerExistingException","Looks up a localized string similar to Input host already has owner assigned to it. DesignScriptEntity can't be created with it.."
"Properties.Resources.ParameterFormatException","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Properties.Resources.ParameterFormatException","Looks up a localized string similar to The data for parameter : {0} is not in {1} format.."
"Properties.Resources.ParameterizedCollectionException","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Properties.Resources.ParameterizedCollectionException","Looks up a localized string similar to Given data : \""{0}\"" is not an array of name value pairs."
"Properties.Resources.PointsCoincident","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Properties.Resources.PointsCoincident","Looks up a localized string similar to {0} are coincident."
"Properties.Resources.PointsColinear","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Properties.Resources.PointsColinear","Looks up a localized string similar to {0} are colinear."
"Properties.Resources.SATFileExportedException","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Properties.Resources.SATFileExportedException","Looks up a localized string similar to SAT file exported to an unexpected location.."
"Properties.Resources.SessionMismatchException","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Properties.Resources.SessionMismatchException","Looks up a localized string similar to Session mismatch for begin and end execution call.."
"Properties.Resources.Sheared","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Properties.Resources.Sheared","Looks up a localized string similar to {0} is sheared."
"Properties.Resources.UpperModelerExtentExceeded","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Properties.Resources.UpperModelerExtentExceeded","Looks up a localized string similar to Your inputs lie outside of the allowable modeling range, consider choosing the {0} setting with a modeling range between {1} and {2} from the ""Settings => Geometry Working Range"" dialog."
"Properties.Resources.VertexColorNotSupported","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Properties.Resources.VertexColorNotSupported","Looks up a localized string similar to Can't set vertex color to SubDivisionMesh with SubDivisionLevel more than zero."
"GeometrySettings.RootModulePath","P:Autodesk","","P:Autodesk.DesignScript.Geometry.GeometrySettings.RootModulePath","Provides path of the root script in execution."
"GeometrySettings.GeometryXmlProperties","P:Autodesk","","P:Autodesk.DesignScript.Geometry.GeometrySettings.GeometryXmlProperties","Provides information about whether to dump XML property for ToString() method"
"GeometrySettings.GeometryFactoryFilePath","P:Autodesk","","P:Autodesk.DesignScript.Geometry.GeometrySettings.GeometryFactoryFilePath","Provides information about where to load the geometry factory file"
"GeometrySettings.PersistenceManagerFilePath","P:Autodesk","","P:Autodesk.DesignScript.Geometry.GeometrySettings.PersistenceManagerFilePath","Provides information about where to load the persistence manager file"
"GeometrySettings.Reset","M:Autodesk","","M:Autodesk.DesignScript.Geometry.GeometrySettings.Reset","Resets the geometry settings to default"
"GeometryExtension.LessThanOrEquals","M:Autodesk","System.Double,System.Double,System.Double","M:Autodesk.DesignScript.Geometry.GeometryExtension.LessThanOrEquals(System.Double,System.Double,System.Double)",""
"GeometryExtension.Equals","M:Autodesk","System.Double,System.Double,System.Double","M:Autodesk.DesignScript.Geometry.GeometryExtension.Equals(System.Double,System.Double,System.Double)",""
"GeometryExtension.EqualsTo","M:Autodesk","System.Double,System.Double","M:Autodesk.DesignScript.Geometry.GeometryExtension.EqualsTo(System.Double,System.Double)",""
"GeometryExtension.LessThanOrEqualTo","M:Autodesk","System.Double,System.Double","M:Autodesk.DesignScript.Geometry.GeometryExtension.LessThanOrEqualTo(System.Double,System.Double)",""
"GeometryExtension.AreCoincident","M:Autodesk","Autodesk.DesignScript.Interfaces.IPointEntity[]","M:Autodesk.DesignScript.Geometry.GeometryExtension.AreCoincident(Autodesk.DesignScript.Interfaces.IPointEntity[])",""
"GeometryExtension.PI","F:Autodesk","","F:Autodesk.DesignScript.Geometry.GeometryExtension.PI",""
"GeometryExtension.DegreesToRadians","M:Autodesk","System.Double","M:Autodesk.DesignScript.Geometry.GeometryExtension.DegreesToRadians(System.Double)",""
"GeometryExtension.RadiansToDegrees","M:Autodesk","System.Double","M:Autodesk.DesignScript.Geometry.GeometryExtension.RadiansToDegrees(System.Double)",""
"GeometryExtension.ToPointEntityArray","M:Autodesk","Autodesk.DesignScript.Geometry.Point[][],System.Boolean","M:Autodesk.DesignScript.Geometry.GeometryExtension.ToPointEntityArray(Autodesk.DesignScript.Geometry.Point[][],System.Boolean)",""
"GeometryExtension.ToPointArray","M:Autodesk","Autodesk.DesignScript.Interfaces.IPointEntity[][],System.Boolean","M:Autodesk.DesignScript.Geometry.GeometryExtension.ToPointArray(Autodesk.DesignScript.Interfaces.IPointEntity[][],System.Boolean)",""
"GeometryExtension.ToEntity","M:Autodesk","Autodesk.DesignScript.Geometry.DesignScriptEntity","M:Autodesk.DesignScript.Geometry.GeometryExtension.ToEntity(Autodesk.DesignScript.Geometry.DesignScriptEntity)",""
"GeometryExtension.GetCurveEntity","M:Autodesk","Autodesk.DesignScript.Geometry.Curve,System.Boolean","M:Autodesk.DesignScript.Geometry.GeometryExtension.GetCurveEntity(Autodesk.DesignScript.Geometry.Curve,System.Boolean)",""
"GeometryExtension.ForEach``1","M:Autodesk","``0[],System.Action{``0}","M:Autodesk.DesignScript.Geometry.GeometryExtension.ForEach``1(``0[],System.Action{``0})",""
"GeometryExtension.ForEach``1","M:Autodesk","``0[][],System.Action{``0}","M:Autodesk.DesignScript.Geometry.GeometryExtension.ForEach``1(``0[][],System.Action{``0})",""
"GeometryExtension.ConvertAll``2","M:Autodesk","``0[],System.Converter{``0,``1}","M:Autodesk.DesignScript.Geometry.GeometryExtension.ConvertAll``2(``0[],System.Converter{``0,``1})",""
"GeometryExtension.ClipParamRange","M:Autodesk","System.Double@","M:Autodesk.DesignScript.Geometry.GeometryExtension.ClipParamRange(System.Double@)","Clips parameter between 0 and 1"
"GeometryExtension.LocateFile","M:Autodesk","System.String","M:Autodesk.DesignScript.Geometry.GeometryExtension.LocateFile(System.String)","Locates given file from pre-defined search path set to this system"
"AnalysisDisplay.FaceAnalysisDisplay","T:Revit","","T:Revit.AnalysisDisplay.FaceAnalysisDisplay","A Revit Point Analysis Display "
"AnalysisDisplay.FaceAnalysisDisplay.#ctor","M:Revit","Autodesk.Revit.DB.View,Analysis.ISurfaceData{Autodesk.DesignScript.Geometry.UV,System.Double},System.String,System.String,System.Type","M:Revit.AnalysisDisplay.FaceAnalysisDisplay.#ctor(Autodesk.Revit.DB.View,Analysis.ISurfaceData{Autodesk.DesignScript.Geometry.UV,System.Double},System.String,System.String,System.Type)",""
"AnalysisDisplay.FaceAnalysisDisplay.InternalSetSpatialFieldValues","M:Revit","System.Int32,Analysis.ISurfaceData{Autodesk.DesignScript.Geometry.UV,System.Double},System.String,System.String,System.Type","M:Revit.AnalysisDisplay.FaceAnalysisDisplay.InternalSetSpatialFieldValues(System.Int32,Analysis.ISurfaceData{Autodesk.DesignScript.Geometry.UV,System.Double},System.String,System.String,System.Type)","Set the spatial field values for the current spatial field primitive. The two input sequences should be of the same length."
"AnalysisDisplay.FaceAnalysisDisplay.ByViewFacePointsAndValues","M:Revit","Revit.Elements.Views.View,Autodesk.DesignScript.Geometry.Surface,Autodesk.DesignScript.Geometry.UV[],System.Double[],System.String,System.String,System.Type","M:Revit.AnalysisDisplay.FaceAnalysisDisplay.ByViewFacePointsAndValues(Revit.Elements.Views.View,Autodesk.DesignScript.Geometry.Surface,Autodesk.DesignScript.Geometry.UV[],System.Double[],System.String,System.String,System.Type)","Show a colored Face Analysis Display in the Revit view."
"AnalysisDisplay.FaceAnalysisDisplay.ByViewAndFaceAnalysisData","M:Revit","Revit.Elements.Views.View,Analysis.SurfaceData,System.String,System.String,System.Type","M:Revit.AnalysisDisplay.FaceAnalysisDisplay.ByViewAndFaceAnalysisData(Revit.Elements.Views.View,Analysis.SurfaceData,System.String,System.String,System.Type)","Show a colored Face Analysis Display in the Revit view."
"AnalysisDisplay.PointAnalysisDisplay","T:Revit","","T:Revit.AnalysisDisplay.PointAnalysisDisplay","A Revit Point Analysis Display "
"AnalysisDisplay.PointAnalysisDisplay.#ctor","M:Revit","Autodesk.Revit.DB.View,Analysis.PointData,System.String,System.String,System.Type","M:Revit.AnalysisDisplay.PointAnalysisDisplay.#ctor(Autodesk.Revit.DB.View,Analysis.PointData,System.String,System.String,System.Type)","Create a Point Analysis Display in the current view"
"AnalysisDisplay.PointAnalysisDisplay.InternalSetSpatialFieldValues","M:Revit","Analysis.IStructuredData{Autodesk.DesignScript.Geometry.Point,System.Double},System.Collections.Generic.List{System.Int32}@,System.String,System.String,System.Type","M:Revit.AnalysisDisplay.PointAnalysisDisplay.InternalSetSpatialFieldValues(Analysis.IStructuredData{Autodesk.DesignScript.Geometry.Point,System.Double},System.Collections.Generic.List{System.Int32}@,System.String,System.String,System.Type)","Set the spatial field values for the current spatial field primitive.The two input sequences should be of the same length."
"AnalysisDisplay.PointAnalysisDisplay.ByViewPointsAndValues","M:Revit","Revit.Elements.Views.View,Autodesk.DesignScript.Geometry.Point[],System.Double[],System.String,System.String,System.Type","M:Revit.AnalysisDisplay.PointAnalysisDisplay.ByViewPointsAndValues(Revit.Elements.Views.View,Autodesk.DesignScript.Geometry.Point[],System.Double[],System.String,System.String,System.Type)","Show a colored Point Analysis Display in the Revit view."
"AnalysisDisplay.PointAnalysisDisplay.ByViewAndPointAnalysisData","M:Revit","Revit.Elements.Views.View,Analysis.PointData,System.String,System.String,System.Type","M:Revit.AnalysisDisplay.PointAnalysisDisplay.ByViewAndPointAnalysisData(Revit.Elements.Views.View,Analysis.PointData,System.String,System.String,System.Type)","Show a colored Point Analysis Display in the Revit view."
"AnalysisDisplay.VectorAnalysisDisplay","T:Revit","","T:Revit.AnalysisDisplay.VectorAnalysisDisplay","A Revit Vector Analysis Display "
"AnalysisDisplay.VectorAnalysisDisplay.#ctor","M:Revit","Autodesk.Revit.DB.View,Analysis.VectorData,System.String,System.String,System.Type","M:Revit.AnalysisDisplay.VectorAnalysisDisplay.#ctor(Autodesk.Revit.DB.View,Analysis.VectorData,System.String,System.String,System.Type)","Create a Vector Analysis Display in the current view"
"AnalysisDisplay.VectorAnalysisDisplay.InternalSetSpatialFieldValues","M:Revit","System.Int32,Analysis.VectorData,System.String,System.String,System.Type","M:Revit.AnalysisDisplay.VectorAnalysisDisplay.InternalSetSpatialFieldValues(System.Int32,Analysis.VectorData,System.String,System.String,System.Type)","Set the spatial field values for the current spatial field primitive.The two input sequences should be of the same length."
"AnalysisDisplay.VectorAnalysisDisplay.ByViewPointsAndVectorValues","M:Revit","Revit.Elements.Views.View,Autodesk.DesignScript.Geometry.Point[],Autodesk.DesignScript.Geometry.Vector[],System.String,System.String,System.Type","M:Revit.AnalysisDisplay.VectorAnalysisDisplay.ByViewPointsAndVectorValues(Revit.Elements.Views.View,Autodesk.DesignScript.Geometry.Point[],Autodesk.DesignScript.Geometry.Vector[],System.String,System.String,System.Type)","Show a Vector Analysis Display in the Revit view."
"AnalysisDisplay.VectorAnalysisDisplay.ByViewAndVectorAnalysisData","M:Revit","Revit.Elements.Views.View,Analysis.VectorData,System.String,System.String,System.Type","M:Revit.AnalysisDisplay.VectorAnalysisDisplay.ByViewAndVectorAnalysisData(Revit.Elements.Views.View,Analysis.VectorData,System.String,System.String,System.Type)","Show a Vector Analysis Display in the Revit view."
"AnalysisDisplay.SpmPrimitiveIdPair","T:Revit","","T:Revit.AnalysisDisplay.SpmPrimitiveIdPair","Hold a pair of element ID of SpatialFieldManager and primitive ID tosupport serialization."
"AnalysisDisplay.AbstractAnalysisDisplay","T:Revit","","T:Revit.AnalysisDisplay.AbstractAnalysisDisplay","Superclass for all Revit Analysis Display typesNote: We're using the user facing name from Revit (Analysis Display), rather than the same name that the Revit APIuses (Spatial Field)"
"AnalysisDisplay.AbstractAnalysisDisplay.Document","P:Revit","","P:Revit.AnalysisDisplay.AbstractAnalysisDisplay.Document","A reference to the current document"
"AnalysisDisplay.AbstractAnalysisDisplay.SpatialFieldManager","P:Revit","","P:Revit.AnalysisDisplay.AbstractAnalysisDisplay.SpatialFieldManager","The SpatialFieldManager governing this SpatialFieldPrimitive"
"AnalysisDisplay.AbstractAnalysisDisplay.InternalSetSpatialFieldManager","M:Revit","Autodesk.Revit.DB.Analysis.SpatialFieldManager","M:Revit.AnalysisDisplay.AbstractAnalysisDisplay.InternalSetSpatialFieldManager(Autodesk.Revit.DB.Analysis.SpatialFieldManager)","Set the SpatialFieldManager"
"AnalysisDisplay.AbstractAnalysisDisplay.GetAnalysisResultSchemaIndex","M:Revit","System.String,System.String,System.Type","M:Revit.AnalysisDisplay.AbstractAnalysisDisplay.GetAnalysisResultSchemaIndex(System.String,System.String,System.Type)","Get the AnalysisResultsSchemaIndex for the SpatialFieldManager"
"AnalysisDisplay.AbstractAnalysisDisplay.GetSpatialFieldManagerFromView","M:Revit","Autodesk.Revit.DB.View,System.UInt32","M:Revit.AnalysisDisplay.AbstractAnalysisDisplay.GetSpatialFieldManagerFromView(Autodesk.Revit.DB.View,System.UInt32)","Get the SpatialFieldManager for a particular view.This is a singleton for every view.Note that the number of values per analysis point is ignored if the SpatialFieldManager has already been obtainedfor this view.This field cannot be mutated once the SpatialFieldManager is set for a partiular view."
"AnalysisDisplay.AbstractAnalysisDisplay.System#IDisposable#Dispose","M:Revit","","M:Revit.AnalysisDisplay.AbstractAnalysisDisplay.System#IDisposable#Dispose","Destroy"
"AnalysisDisplay.AbstractAnalysisDisplay.GetElementAndPrimitiveIdFromTrace","M:Revit","","M:Revit.AnalysisDisplay.AbstractAnalysisDisplay.GetElementAndPrimitiveIdFromTrace","Set the SpatialFieldManager PrimitiveId from Thread Local Storage"
"AnalysisDisplay.AbstractAnalysisDisplay.SetElementAndPrimitiveIdsForTrace","M:Revit","Autodesk.Revit.DB.Analysis.SpatialFieldManager,System.Collections.Generic.List{System.Int32}","M:Revit.AnalysisDisplay.AbstractAnalysisDisplay.SetElementAndPrimitiveIdsForTrace(Autodesk.Revit.DB.Analysis.SpatialFieldManager,System.Collections.Generic.List{System.Int32})","Set the SpatialFieldManager and PrimitiveId in Thread Local Storage"
"AnalysisDisplay.AbstractAnalysisDisplay.SetElementAndPrimitiveIdsForTrace","M:Revit","","M:Revit.AnalysisDisplay.AbstractAnalysisDisplay.SetElementAndPrimitiveIdsForTrace","Set the current SpatialFieldManager and PrimitiveId in Thread Local Storage"
"Application.Document","T:Revit","","T:Revit.Application.Document","A Revit Document"
"Application.Document.InternalDocument","P:Revit","","P:Revit.Application.Document.InternalDocument","Internal reference to the Document"
"Application.Document.ActiveView","P:Revit","","P:Revit.Application.Document.ActiveView","Get the active view for the document"
"Application.Document.IsFamilyDocument","P:Revit","","P:Revit.Application.Document.IsFamilyDocument","Is the Document a Family?"
"Application.Document.FilePath","P:Revit","","P:Revit.Application.Document.FilePath","The full path of the Document."
"Application.Document.Current","P:Revit","","P:Revit.Application.Document.Current","Get the current document"
"Application.Document.Location","P:Revit","","P:Revit.Application.Document.Location","Extracts Latitude and Longitude from Revit"
"Elements.Category.Name","P:Revit","","P:Revit.Elements.Category.Name","The name of the Category. "
"Elements.Category.Id","P:Revit","","P:Revit.Elements.Category.Id","The Id of the category."
"Elements.Category.ByName","M:Revit","System.String","M:Revit.Elements.Category.ByName(System.String)","Gets a Revit category by the built-in category name."
"Elements.Category.ById","M:Revit","System.Int32","M:Revit.Elements.Category.ById(System.Int32)","Gets Revit Built-in category from current document based on category Id"
"Elements.Coordinates","T:Revit","","T:Revit.Elements.Coordinates","Nodes exposing Revit Document Base and Survey Point"
"Elements.Coordinates.GetBaseOrSurveyPoint","M:Revit","System.Boolean","M:Revit.Elements.Coordinates.GetBaseOrSurveyPoint(System.Boolean)","Get Base or SurveyPoint"
"Elements.Coordinates.ProjectRotation","M:Revit","","M:Revit.Elements.Coordinates.ProjectRotation","Get Project Rotation"
"Elements.Coordinates.BasePoint","M:Revit","","M:Revit.Elements.Coordinates.BasePoint","Get Project Base Point"
"Elements.Coordinates.SurveyPoint","M:Revit","","M:Revit.Elements.Coordinates.SurveyPoint","Get Survey Point"
"Elements.CurtainGrid","T:Revit","","T:Revit.Elements.CurtainGrid","A Revit CurtainGrid"
"Elements.CurtainGrid.InternalCurtainHolderElement","P:Revit","","P:Revit.Elements.CurtainGrid.InternalCurtainHolderElement","Internal variable containing the wrapped Revit object"
"Elements.CurtainGrid.InternalElement","P:Revit","","P:Revit.Elements.CurtainGrid.InternalElement","Reference to the Element"
"Elements.CurtainGrid.NumberOfULines","P:Revit","","P:Revit.Elements.CurtainGrid.NumberOfULines","number of U lines"
"Elements.CurtainGrid.NumberOfVLines","P:Revit","","P:Revit.Elements.CurtainGrid.NumberOfVLines","number of V lines"
"Elements.CurtainGrid.NumberOfPanels","P:Revit","","P:Revit.Elements.CurtainGrid.NumberOfPanels","number of V lines"
"Elements.CurtainGrid.NumberOfMullions","P:Revit","","P:Revit.Elements.CurtainGrid.NumberOfMullions","number of V lines"
"Elements.CurtainGrid.#ctor","M:Revit","Autodesk.Revit.DB.Element","M:Revit.Elements.CurtainGrid.#ctor(Autodesk.Revit.DB.Element)","Create from an existing Revit Element"
"Elements.CurtainGrid.InitCurtainGrid","M:Revit","Autodesk.Revit.DB.Element","M:Revit.Elements.CurtainGrid.InitCurtainGrid(Autodesk.Revit.DB.Element)","Initialize a curtain grid"
"Elements.CurtainGrid.InitCurtainGrid","M:Revit","Autodesk.Revit.DB.Element,Autodesk.Revit.DB.Reference","M:Revit.Elements.CurtainGrid.InitCurtainGrid(Autodesk.Revit.DB.Element,Autodesk.Revit.DB.Reference)","Initialize a CurtainGrid element"
"Elements.CurtainGrid.ByElementAndReference","M:Revit","Revit.Elements.Element,Revit.GeometryReferences.ElementFaceReference","M:Revit.Elements.CurtainGrid.ByElementAndReference(Revit.Elements.Element,Revit.GeometryReferences.ElementFaceReference)","get curtain grid from element with curtain grid or grids "
"Elements.CurtainGrid.ByElement","M:Revit","Revit.Elements.Element","M:Revit.Elements.CurtainGrid.ByElement(Revit.Elements.Element)","get curtain grid from element with curtain grid or grids "
"Elements.CurtainPanel","T:Revit","","T:Revit.Elements.CurtainPanel","A Revit CurtainPanel"
"Elements.CurtainPanel.Boundaries","P:Revit","","P:Revit.Elements.CurtainPanel.Boundaries","Gets curtain panel boundaries"
"Elements.CurtainPanel.HasPlane","P:Revit","","P:Revit.Elements.CurtainPanel.HasPlane","Checks if the specific curtain panel is planar"
"Elements.CurtainPanel.PanelPlane","P:Revit","","P:Revit.Elements.CurtainPanel.PanelPlane","Gets a plane of the given curtain panel, if it is planar"
"Elements.CurtainPanel.Length","P:Revit","","P:Revit.Elements.CurtainPanel.Length","Gets the length of the specific curtain panel boundaries"
"Elements.CurtainPanel.IsRectangular","P:Revit","","P:Revit.Elements.CurtainPanel.IsRectangular","Checks whether the specific curtain panel is rectangular. Returns true if the curtain panel is rectangular. Otherwise returns false"
"Elements.CurtainPanel.Width","P:Revit","","P:Revit.Elements.CurtainPanel.Width","Gets the width of the specific curtain panel, if it's rectangular"
"Elements.CurtainPanel.Height","P:Revit","","P:Revit.Elements.CurtainPanel.Height","Gets the height of the specific curtain panel, if it's rectangular"
"Elements.CurtainPanel.#ctor","M:Revit","Autodesk.Revit.DB.Panel","M:Revit.Elements.CurtainPanel.#ctor(Autodesk.Revit.DB.Panel)","Create from an existing Revit Element"
"Elements.CurtainPanel.InitCurtainPanel","M:Revit","Autodesk.Revit.DB.Panel","M:Revit.Elements.CurtainPanel.InitCurtainPanel(Autodesk.Revit.DB.Panel)","Initialize a CurtainPanel element"
"Elements.CurtainPanel.ByElement","M:Revit","Revit.Elements.CurtainPanel","M:Revit.Elements.CurtainPanel.ByElement(Revit.Elements.CurtainPanel)","get curtain panel from element "
"Elements.CurtainPanel.ByElement","M:Revit","Revit.Elements.Element","M:Revit.Elements.CurtainPanel.ByElement(Revit.Elements.Element)","get all panels of curtain wall, system or slope glazing roof "
"Elements.CurtainPanel.FromExisting","M:Revit","Autodesk.Revit.DB.Panel,System.Boolean","M:Revit.Elements.CurtainPanel.FromExisting(Autodesk.Revit.DB.Panel,System.Boolean)","Construct this type from an existing Revit element."
"Elements.CurtainPanel.SupportingMullions","M:Revit","","M:Revit.Elements.CurtainPanel.SupportingMullions","Gets Mullions hosting the specified curtain panel"
"Elements.CurtainPanel.AsFamilyInstance","M:Revit","","M:Revit.Elements.CurtainPanel.AsFamilyInstance","Gets family instance from curtain Panel"
"Elements.Dimension","T:Revit","","T:Revit.Elements.Dimension","Dimension element"
"Elements.Dimension.InternalRevitElement","P:Revit","","P:Revit.Elements.Dimension.InternalRevitElement","Internal reference to the Revit Element"
"Elements.Dimension.InternalElement","P:Revit","","P:Revit.Elements.Dimension.InternalElement","Reference to the Element"
"Elements.Dimension.InternalSetElement","M:Revit","Autodesk.Revit.DB.Dimension","M:Revit.Elements.Dimension.InternalSetElement(Autodesk.Revit.DB.Dimension)","Set the internal Element, ElementId, and UniqueId"
"Elements.Dimension.#ctor","M:Revit","Autodesk.Revit.DB.Dimension","M:Revit.Elements.Dimension.#ctor(Autodesk.Revit.DB.Dimension)","Dimension from existing"
"Elements.Dimension.#ctor","M:Revit","Autodesk.Revit.DB.View,Autodesk.Revit.DB.Line,Autodesk.Revit.DB.ReferenceArray,System.String,System.String","M:Revit.Elements.Dimension.#ctor(Autodesk.Revit.DB.View,Autodesk.Revit.DB.Line,Autodesk.Revit.DB.ReferenceArray,System.String,System.String)","Dimension by Elements"
"Elements.Dimension.InitElement","M:Revit","Autodesk.Revit.DB.Dimension","M:Revit.Elements.Dimension.InitElement(Autodesk.Revit.DB.Dimension)","Init from existing"
"Elements.Dimension.Init","M:Revit","Autodesk.Revit.DB.View,Autodesk.Revit.DB.Line,Autodesk.Revit.DB.ReferenceArray,System.String,System.String","M:Revit.Elements.Dimension.Init(Autodesk.Revit.DB.View,Autodesk.Revit.DB.Line,Autodesk.Revit.DB.ReferenceArray,System.String,System.String)","Init by Elements"
"Elements.Dimension.ByElements","M:Revit","Revit.Elements.Views.View,System.Collections.Generic.IEnumerable{Revit.Elements.Element},Autodesk.DesignScript.Geometry.Line,System.String,System.String","M:Revit.Elements.Dimension.ByElements(Revit.Elements.Views.View,System.Collections.Generic.IEnumerable{Revit.Elements.Element},Autodesk.DesignScript.Geometry.Line,System.String,System.String)","Construct a Revit Dimension from at least two elements"
"Elements.Dimension.Value","P:Revit","","P:Revit.Elements.Dimension.Value","Get Dimension Value"
"Elements.Dimension.Prefix","P:Revit","","P:Revit.Elements.Dimension.Prefix","Get Prefix"
"Elements.Dimension.SetPrefix","M:Revit","System.Collections.Generic.IEnumerable{System.String}","M:Revit.Elements.Dimension.SetPrefix(System.Collections.Generic.IEnumerable{System.String})","Set Prefix"
"Elements.Dimension.Suffix","P:Revit","","P:Revit.Elements.Dimension.Suffix","Get Suffix"
"Elements.Dimension.SetSuffix","M:Revit","System.Collections.Generic.IEnumerable{System.String}","M:Revit.Elements.Dimension.SetSuffix(System.Collections.Generic.IEnumerable{System.String})","Set Suffix"
"Elements.Dimension.ValueOverride","P:Revit","","P:Revit.Elements.Dimension.ValueOverride","Get Value override"
"Elements.Dimension.SetValueOverride","M:Revit","System.Collections.Generic.IEnumerable{System.String}","M:Revit.Elements.Dimension.SetValueOverride(System.Collections.Generic.IEnumerable{System.String})","Set Value override"
"Elements.Dimension.FromExisting","M:Revit","Autodesk.Revit.DB.Dimension,System.Boolean","M:Revit.Elements.Dimension.FromExisting(Autodesk.Revit.DB.Dimension,System.Boolean)","From existing element"
"Elements.Dimension.GetMidpoint","M:Revit","Autodesk.Revit.DB.BoundingBoxXYZ","M:Revit.Elements.Dimension.GetMidpoint(Autodesk.Revit.DB.BoundingBoxXYZ)","GetMidpoint from bounding box"
"Elements.DetailCurve","T:Revit","","T:Revit.Elements.DetailCurve","Revit Detail Curve"
"Elements.DetailCurve.#ctor","M:Revit","Autodesk.Revit.DB.DetailCurve","M:Revit.Elements.DetailCurve.#ctor(Autodesk.Revit.DB.DetailCurve)","Construct a detail curve from an existing element"
"Elements.DetailCurve.#ctor","M:Revit","Autodesk.Revit.DB.View,Autodesk.Revit.DB.Curve","M:Revit.Elements.DetailCurve.#ctor(Autodesk.Revit.DB.View,Autodesk.Revit.DB.Curve)","Construct a detail curve by curve"
"Elements.DetailCurve.InitElement","M:Revit","Autodesk.Revit.DB.DetailCurve","M:Revit.Elements.DetailCurve.InitElement(Autodesk.Revit.DB.DetailCurve)","Initialize Detail Curve element"
"Elements.DetailCurve.Init","M:Revit","Autodesk.Revit.DB.View,Autodesk.Revit.DB.Curve","M:Revit.Elements.DetailCurve.Init(Autodesk.Revit.DB.View,Autodesk.Revit.DB.Curve)","Init a new detail curve from curve"
